url;parameter
https://repositorio.ufgd.edu.br/jspui;2
https://ri.unir.br/jspui;2
https://repositorio.uft.edu.br;2
https://repositorio.unilab.edu.br/jspui;2
https://repositorio.unb.br;2
https://rd.uffs.edu.br;2
https://repositorio.ufpb.br;2
https://www.repositorio.ufal.br;2
https://repositorio.unifei.edu.br;2
https://repositorio.ufjf.br;2
https://ri.ufmt.br;2
https://repositorio.ufms.br;2
https://guaiaca.ufpel.edu.br;2
https://repositorio.ufpe.br;2
https://repositorio.ufsc.br;2
https://repositorio.ufsm.br;2
https://repositorio.ufu.br;2
http://www.repositorio.ufc.br;2
https://repositorioinstitucional.ufdpar.edu.br;2
http://www.repositorio-bc.unirio.br:8080/xmlui;2
https://acervodigital.ufpr.br/xmlui;2
https://ri.ufrb.edu.br;2
https://pantheon.ufrj.br;3
https://lume.ufrgs.br;2
https://repositorio.unifesspa.edu.br;2
https://bdtd.uftm.edu.br;2
https://app.uff.br/riuff;2
http://repositorio.ufra.edu.br/jspui;2
https://rima.ufrrj.br;2
https://repositorio.utfpr.edu.br/jspui;2
